W,VAR,VA,f,V,PF,A,Label
207.664,-27.884,209.528,50.13,231.56,0.991,0.905,"Fan,Motor,Laptop,Iron"
205.484,-27.625,207.332,50.13,231.6,0.991,0.895,"Fan,Motor,Laptop,Iron"
202.314,-27.357,204.156,50.14,231.54,0.991,0.882,"Fan,Motor,Laptop,Iron"
200.501,-26.511,202.246,50.11,231.61,0.991,0.873,"Fan,Motor,Laptop,Iron"
199.311,-26.276,201.035,50.13,231.72,0.991,0.868,"Fan,Motor,Laptop"
197.924,-25.841,199.604,50.11,231.58,0.992,0.862,"Fan,Motor,Laptop"
198.28,-25.964,199.973,50.13,231.6,0.992,0.863,"Fan,Motor,Laptop"
199.869,-26.502,201.619,50.12,231.68,0.991,0.87,"Fan,Motor,Laptop"
199.929,-26.068,201.621,50.15,231.69,0.992,0.87,"Fan,Motor,Laptop"
200.411,-26.13,202.108,50.13,231.7,0.992,0.872,"Fan,Motor,Laptop,Iron"
198.026,-25.248,199.629,50.12,231.75,0.992,0.861,"Fan,Motor,Laptop"
201.035,-26.229,202.739,50.13,231.62,0.992,0.875,"Fan,Motor,Laptop,Iron"
200.228,-26.064,201.917,50.13,231.68,0.992,0.872,"Fan,Motor,Laptop,Iron"
199.607,-25.849,201.274,50.13,231.63,0.992,0.869,"Fan,Motor,Laptop"
201.444,-25.943,203.107,50.14,231.5,0.992,0.877,"Fan,Motor,Laptop,Iron"
203.006,-26.73,204.758,50.12,231.69,0.991,0.884,"Fan,Motor,Laptop,Iron"
204.494,-26.62,206.219,50.12,231.51,0.992,0.891,"Fan,Motor,Laptop,Iron"
208.796,-28.185,210.69,50.13,231.59,0.991,0.91,"Fan,Motor,Laptop,Iron"
207.453,-27.645,209.287,50.13,231.69,0.991,0.903,"Fan,Motor,Laptop,Iron"
203.845,-26.68,205.584,50.13,231.58,0.992,0.888,"Fan,Motor,Laptop,Iron"
206.37,-27.497,208.194,50.13,231.64,0.991,0.899,"Fan,Motor,Laptop,Iron"
205.296,-26.853,207.044,50.13,231.78,0.992,0.893,"Fan,Motor,Laptop,Iron"
199.975,-25.69,201.618,50.14,231.7,0.992,0.87,"Fan,Motor,Laptop,Iron"
204.407,-26.433,206.109,50.13,231.9,0.992,0.889,"Fan,Motor,Laptop,Iron"
205.87,-26.723,207.248,50.12,232.07,0.992,0.895,"Fan,Motor,Laptop,Iron"
206.429,-26.763,208.942,50.12,231.98,0.992,0.897,"Fan,Motor,Laptop,Iron"
204.606,-26.344,205.989,50.1,232.04,0.992,0.889,"Fan,Motor,Laptop,Iron"
205.191,-26.448,206.847,50.1,232.09,0.992,0.892,"Fan,Motor,Laptop,Iron"
204.712,-26.113,205.703,50.12,231.97,0.992,0.887,"Fan,Motor,Laptop,Iron"
207.531,-26.792,208.214,50.12,231.95,0.992,0.897,"Fan,Motor,Laptop,Iron"
210.386,-28.993,212.374,50.13,232.24,0.991,0.915,"Fan,Motor,Laptop,Iron"
210.222,-27.799,212.052,50.1,232,0.991,0.914,"Fan,Motor,Laptop,Iron"
209.809,-27.517,211.606,50.12,232.05,0.992,0.912,"Fan,Motor,Laptop,Iron"
209.768,-27.626,211.58,50.13,231.9,0.991,0.912,"Fan,Motor,Laptop,Iron"
207.42,-27.214,209.198,50.1,232,0.992,0.902,"Fan,Motor,Laptop,Iron"
203.381,-25.965,205.031,50.12,232.08,0.992,0.883,"Fan,Motor,Laptop,Iron"
203.482,-26.031,205.14,50.1,231.96,0.992,0.884,"Fan,Motor,Laptop,Iron"
205.313,-26.681,207.039,50.12,231.91,0.992,0.893,"Fan,Motor,Laptop,Iron"
204.857,-26.92,206.618,50.14,231.99,0.991,0.891,"Fan,Motor,Laptop,Iron"
207.738,-27.192,209.51,50.11,231.9,0.992,0.903,"Fan,Motor,Laptop,Iron"
207.079,-26.884,208.817,50.11,232,0.992,0.9,"Fan,Motor,Laptop,Iron"
207.785,-27.076,209.541,50.13,231.83,0.992,0.904,"Fan,Motor,Laptop,Iron"
206.216,-26.725,207.941,50.12,231.75,0.992,0.897,"Fan,Motor,Laptop,Iron"
205.116,-26.518,206.823,50.13,231.99,0.992,0.892,"Fan,Motor,Laptop,Iron"
204.928,-26.34,206.614,50.12,231.84,0.992,0.891,"Fan,Motor,Laptop,Iron"
205.083,-26.234,206.754,50.12,231.81,0.992,0.892,"Fan,Motor,Laptop,Iron"
204.508,-26.583,206.229,50.09,231.64,0.992,0.89,"Fan,Motor,Laptop,Iron"
204.264,-26.289,205.949,50.1,231.7,0.992,0.889,"Fan,Motor,Laptop,Iron"
204.101,-26.208,205.777,50.11,231.72,0.992,0.888,"Fan,Motor,Laptop,Iron"
204.239,-26.474,205.948,50.1,231.78,0.992,0.889,"Fan,Motor,Laptop,Iron"
203.787,-25.99,205.438,50.12,231.69,0.992,0.887,"Fan,Motor,Laptop,Iron"
201.879,-25.966,203.542,50.11,231.65,0.992,0.879,"Fan,Motor,Laptop,Iron"
202.671,-25.836,204.311,50.1,231.66,0.992,0.882,"Fan,Motor,Laptop,Iron"
201.948,-25.817,203.592,50.12,231.78,0.992,0.878,"Fan,Motor,Laptop,Iron"
200.953,-25.612,202.578,50.08,231.79,0.992,0.874,"Fan,Motor,Laptop,Iron"
202.621,-25.95,204.276,50.09,231.72,0.992,0.882,"Fan,Motor,Laptop,Iron"
202.892,-26.561,204.623,50.12,231.72,0.992,0.883,"Fan,Motor,Laptop,Iron"
213.091,-27.951,214.916,50.11,231.8,0.992,0.927,"Fan,Motor,Laptop,Iron"
210.288,-27.805,212.119,50.12,231.66,0.991,0.916,"Fan,Motor,Laptop,Iron"
204.559,-26.136,206.222,50.1,231.66,0.992,0.89,"Fan,Motor,Laptop,Iron"
